Time : 46:13.558, Frame: 4541.000, Current FPS : 49.643, Average FPS : 46.649, Total FPS : 46.342
Time : 46:14.077, Frame: 4563.000, Current FPS : 42.384, Average FPS : 46.222, Total FPS : 46.321
Time : 46:14.595, Frame: 4589.000, Current FPS : 50.229, Average FPS : 46.623, Total FPS : 46.341
Time : 46:15.117, Frame: 4614.000, Current FPS : 47.885, Average FPS : 46.749, Total FPS : 46.349
Time : 46:15.623, Frame: 4638.000, Current FPS : 47.424, Average FPS : 46.817, Total FPS : 46.355
Time : 46:16.143, Frame: 4663.000, Current FPS : 48.045, Average FPS : 46.939, Total FPS : 46.364
Time : 46:16.664, Frame: 4689.000, Current FPS : 49.887, Average FPS : 47.234, Total FPS : 46.382
Time : 46:17.169, Frame: 4713.000, Current FPS : 47.532, Average FPS : 47.264, Total FPS : 46.388
Time : 46:17.691, Frame: 4738.000, Current FPS : 47.930, Average FPS : 47.331, Total FPS : 46.396
Time : 46:18.212, Frame: 4764.000, Current FPS : 49.924, Average FPS : 47.590, Total FPS : 46.413
Time : 46:18.716, Frame: 4790.000, Current FPS : 51.514, Average FPS : 47.982, Total FPS : 46.438
Time : 46:19.235, Frame: 4810.000, Current FPS : 38.537, Average FPS : 47.038, Total FPS : 46.399
Time : 46:19.755, Frame: 4836.000, Current FPS : 50.069, Average FPS : 47.341, Total FPS : 46.417
Time : 46:20.274, Frame: 4862.000, Current FPS : 50.104, Average FPS : 47.617, Total FPS : 46.435
Time : 46:20.777, Frame: 4887.000, Current FPS : 49.634, Average FPS : 47.819, Total FPS : 46.451
Time : 46:21.297, Frame: 4913.000, Current FPS : 50.031, Average FPS : 48.040, Total FPS : 46.468
Time : 46:21.817, Frame: 4939.000, Current FPS : 49.964, Average FPS : 48.232, Total FPS : 46.485
Time : 46:22.335, Frame: 4963.000, Current FPS : 46.333, Average FPS : 48.043, Total FPS : 46.485
Time : 46:22.841, Frame: 4988.000, Current FPS : 49.443, Average FPS : 48.183, Total FPS : 46.499
Time : 46:23.360, Frame: 5012.000, Current FPS : 46.268, Average FPS : 47.991, Total FPS : 46.498
Time : 46:23.878, Frame: 5036.000, Current FPS : 46.270, Average FPS : 47.819, Total FPS : 46.496
Time : 46:24.396, Frame: 5057.000, Current FPS : 40.645, Average FPS : 47.102, Total FPS : 46.468
Time : 46:24.900, Frame: 5081.000, Current FPS : 47.642, Average FPS : 47.156, Total FPS : 46.474
Time : 46:25.419, Frame: 5106.000, Current FPS : 48.132, Average FPS : 47.253, Total FPS : 46.481
Time : 46:25.939, Frame: 5130.000, Current FPS : 46.133, Average FPS : 47.141, Total FPS : 46.480
Time : 46:26.459, Frame: 5159.000, Current FPS : 55.873, Average FPS : 48.014, Total FPS : 46.524
Time : 46:26.966, Frame: 5191.000, Current FPS : 63.061, Average FPS : 49.519, Total FPS : 46.599
Time : 46:27.485, Frame: 5224.000, Current FPS : 63.534, Average FPS : 50.921, Total FPS : 46.678
Time : 46:28.005, Frame: 5259.000, Current FPS : 67.382, Average FPS : 52.567, Total FPS : 46.773
Time : 46:28.511, Frame: 5290.000, Current FPS : 61.267, Average FPS : 53.437, Total FPS : 46.838
Time : 46:29.031, Frame: 5321.000, Current FPS : 59.584, Average FPS : 54.051, Total FPS : 46.897
Time : 46:29.553, Frame: 5338.000, Current FPS : 32.592, Average FPS : 51.906, Total FPS : 46.831
Time : 46:30.057, Frame: 5355.000, Current FPS : 33.683, Average FPS : 50.083, Total FPS : 46.773
Time : 46:30.576, Frame: 5372.000, Current FPS : 32.750, Average FPS : 48.350, Total FPS : 46.710
Time : 46:31.097, Frame: 5391.000, Current FPS : 36.501, Average FPS : 47.165, Total FPS : 46.664
Time : 46:31.616, Frame: 5410.000, Current FPS : 36.605, Average FPS : 46.109, Total FPS : 46.619
Time : 46:32.119, Frame: 5429.000, Current FPS : 37.765, Average FPS : 45.275, Total FPS : 46.580
Time : 46:32.639, Frame: 5447.000, Current FPS : 34.623, Average FPS : 44.209, Total FPS : 46.528
Time : 46:33.157, Frame: 5466.000, Current FPS : 36.679, Average FPS : 43.456, Total FPS : 46.484
Time : 46:33.678, Frame: 5485.000, Current FPS : 36.492, Average FPS : 42.760, Total FPS : 46.440
